Total run time: 61609 seconds
Total customers 500
id            service      clerk_num    work          idle
1001          Modiin          0          60251          1357
1002          Modiin          1          60558          1050

Average work time for a clerk at Modiin: 60404.50

id            service      clerk_num    work          idle
1003          Zikna          0          8215          53393
1004          Zikna          1          7433          54175
1005          Zikna          2          6808          54800

Average work time for a clerk at Zikna: 7485.33

id            service      clerk_num    work          idle
1006          Sheerim          0          7524          54084
1007          Sheerim          1          6724          54884
1008          Sheerim          2          5937          55671

Average work time for a clerk at Sheerim: 6728.33

id            service      clerk_num    work          idle
1009          Avtala          0          6519          55089
1010          Avtala          1          6714          54894
1011          Avtala          2          5472          56136
1012          Avtala          3          5759          55849
1013          Avtala          4          7073          54535

Average work time for a clerk at Avtala: 6307.40

id            service      clerk_num    work          idle
1014          Nechut          0          7112          54496
1015          Nechut          1          8398          53210
1016          Nechut          2          8047          53561

Average work time for a clerk at Nechut: 7852.33

id            service      clerk_num    work          idle
1017          Siudi          0          12762          48846
1018          Siudi          1          17887          43721
1019          Siudi          2          12981          48627
1020          Siudi          3          12508          49100

Average work time for a clerk at Siudi: 14034.50

id            service      clerk_num    work          idle
1021          Teunot          0          11435          50173
1022          Teunot          1          13833          47775

Average work time for a clerk at Teunot: 12634.00

id            service      clerk_num    work          idle
1023          Kitsva          0          2876          58732
1024          Kitsva          1          1968          59640
1025          Kitsva          2          1611          59997
1026          Kitsva          3          3590          58018
1027          Kitsva          4          1803          59805
1028          Kitsva          5          1891          59717

Average work time for a clerk at Kitsva: 2289.83

id            service      clerk_num    work          idle
1029          Tashlum          0          4773          56835
1030          Tashlum          1          4837          56771
1031          Tashlum          2          5646          55962
1032          Tashlum          3          5551          56057
1033          Tashlum          4          4395          57213
1034          Tashlum          5          5591          56017
1035          Tashlum          6          6274          55334
1036          Tashlum          7          5953          55655

Average work time for a clerk at Tashlum: 5377.50

Average work time for a clerk: 9908.58

id             sort time     service time   elapse       wait
224164475          327          222          551          0
207819723          41          343          482          0
321572315          147          1173          1410          0
006814974          132          3152          3303          57
039566195          197          276          504          118
238439301          492          200          697          139
046104907          148          186          406          278
224488841          300          306          645          354
024330904          148          420          577          515
004840245          91          266          506          607
339257636          243          51          305          505
038707170          267          689          1147          536
